name,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,rbi,b_total_bases,r_total_stolen_base,exit_velocity_avg,hard_hit_percent,oz_contact_percent,pitch_count,iz_contact_percent,whiff_percent
Cesar Hernandez,2022,32,560,617,139,106,28,4,1,114,45,18.5,7.3,0.248,0.318,0.311,0.629,0.07,34,178,10,84.8,29.7,58.1,2368,84.9,20.4
Jean Segura,2022,32,354,387,98,79,9,0,10,58,25,15.0,6.5,0.277,0.387,0.336,0.723,0.11,33,137,13,87.6,38.4,69.1,1406,88.4,18.5
Starling Marte,2022,33,466,505,136,91,24,5,16,97,26,19.2,5.1,0.292,0.468,0.347,0.815,0.176,63,218,18,86.8,33.9,59.5,1920,82.7,24.0
Travis d'Arnaud,2022,33,396,426,106,62,25,1,18,90,19,21.1,4.5,0.268,0.472,0.319,0.791,0.204,60,187,0,88.5,38.9,60.5,1633,79.5,26.9
Josh Donaldson,2022,36,478,546,106,63,28,0,15,148,54,27.1,9.9,0.222,0.374,0.308,0.682,0.152,62,179,2,90.7,43.3,54.2,2176,72.5,33.2
Freddie Freeman,2022,32,612,708,199,129,47,2,21,102,84,14.4,11.9,0.325,0.511,0.407,0.918,0.186,100,313,13,91.3,47.8,67.8,2755,85.8,19.5
Yasmani Grandal,2022,33,327,376,66,54,7,0,5,79,45,21.0,12.0,0.202,0.269,0.301,0.57,0.067,27,88,1,90.0,40.0,58.9,1573,85.3,21.6
DJ LeMahieu,2022,33,467,541,122,92,18,0,12,71,67,13.1,12.4,0.261,0.377,0.357,0.734,0.116,46,176,4,89.2,41.1,73.4,2152,89.1,15.7
Mike Moustakas,2022,33,252,285,54,35,12,0,7,75,24,26.3,8.4,0.214,0.345,0.295,0.64,0.131,25,87,2,87.6,33.9,53.6,1150,80.8,29.2
Anthony Rizzo,2022,32,465,548,104,50,21,1,32,101,58,18.4,10.6,0.224,0.48,0.338,0.818,0.256,75,223,6,89.4,41.0,61.5,2112,84.8,22.8
Giancarlo Stanton,2022,32,398,452,84,46,7,0,31,137,50,30.3,11.1,0.211,0.462,0.297,0.759,0.251,78,184,0,95.0,52.3,48.3,1841,71.0,36.5
Salvador Perez,2022,32,445,473,113,66,23,1,23,109,18,23.0,3.8,0.254,0.465,0.292,0.757,0.211,76,207,0,91.4,49.0,56.0,1700,77.8,31.8
Wilmer Flores,2022,30,525,602,120,72,28,1,19,103,59,17.1,9.8,0.229,0.394,0.316,0.71,0.165,71,207,0,87.8,35.4,66.3,2426,87.6,18.9
Avisail Garcia,2022,31,357,380,80,63,9,0,8,109,17,28.7,4.5,0.224,0.317,0.266,0.583,0.093,35,113,4,88.7,44.8,39.2,1367,78.4,36.7
Christian Bethancourt,2022,30,318,333,80,52,17,0,11,80,12,24.0,3.6,0.252,0.409,0.283,0.692,0.157,34,130,5,90.1,44.8,50.2,1106,73.0,34.7
Marcell Ozuna,2022,31,470,507,106,64,19,0,23,122,31,24.1,6.1,0.226,0.413,0.274,0.687,0.187,56,194,2,89.4,43.8,55.3,2023,80.4,28.7
Rafael Ortega,2022,31,316,371,76,54,14,1,7,74,44,19.9,11.9,0.241,0.358,0.331,0.689,0.117,35,113,12,87.2,33.7,59.6,1517,88.7,19.3
Jesus Aguilar,2022,32,464,507,109,74,19,0,16,119,28,23.5,5.5,0.235,0.379,0.281,0.66,0.144,51,176,1,87.7,36.0,58.1,2078,82.2,27.0
Jon Berti,2022,32,358,404,86,62,17,3,4,89,42,22.0,10.4,0.24,0.338,0.324,0.662,0.098,28,121,41,88.0,37.0,51.8,1570,83.0,24.5
Brandon Crawford,2022,35,407,458,94,68,15,2,9,98,39,21.4,8.5,0.231,0.344,0.308,0.652,0.113,52,140,1,88.1,35.1,47.4,1720,75.2,31.8
